이름,추천수,별점수,총화수,요일,1화링크,상세페이지 URL,장르모음,웹툰보는곳
절세무신,72,2.5,341,월요일,https://newtoki307.com/webtoon/438868?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/438864/%EC%A0%88%EC%84%B8%EB%AC%B4%EC%8B%A0?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"무협,중국","카카오페이지,무툰"
천검지존,11,2.5,146,월요일,https://newtoki307.com/webtoon/20711247?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/20428425/%EC%B2%9C%EA%B2%80%EC%A7%80%EC%A1%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,개그,무협,중국","카카오페이지,네이버웹툰,무툰"
악역 황녀님은 과자집에서 살고 싶어,209,3.5,97,월요일,https://newtoki307.com/webtoon/13568159?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/13567781/%EC%95%85%EC%97%AD-%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%80-%EA%B3%BC%EC%9E%90%EC%A7%91%EC%97%90%EC%84%9C-%EC%82%B4%EA%B3%A0-%EC%8B%B6%EC%96%B4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,개그,로맨스,한국","카카오페이지,리디"
무공서고의 주인,41,3.5,37,월요일,https://newtoki307.com/webtoon/28603518?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/28599453/%EB%AC%B4%EA%B3%B5%EC%84%9C%EA%B3%A0%EC%9D%98-%EC%A3%BC%EC%9D%B8?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,무협","카카오페이지,미툰"
저 같은 정령에게 집착하지 마세요!,36,2.0,58,월요일,https://newtoki307.com/webtoon/24298769?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/24298406/%EC%A0%80-%EA%B0%99%EC%9D%80-%EC%A0%95%EB%A0%B9%EC%97%90%EA%B2%8C-%EC%A7%91%EC%B0%A9%ED%95%98%EC%A7%80-%EB%A7%88%EC%84%B8%EC%9A%94?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,로맨스","카카오페이지,WEBTOONGUIDE"
"가을, 만나다",20,3.5,58,월요일,https://newtoki307.com/webtoon/24110814?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/24109818/%EA%B0%80%EC%9D%84-%EB%A7%8C%EB%82%98%EB%8B%A4?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"로맨스,드라마","카카오페이지,네이버웹툰"
무명도,11,3.0,66,월요일,https://newtoki307.com/webtoon/27014045?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/27013877/%EB%AC%B4%EB%AA%85%EB%8F%84?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,무협,"카카오페이지,네이버웹툰,무툰"
계약하시겠습니까?,12,5.0,20,월요일,https://newtoki307.com/webtoon/31540157?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/31508829/%EA%B3%84%EC%95%BD%ED%95%98%EC%8B%9C%EA%B2%A0%EC%8A%B5%EB%8B%88%EA%B9%8C?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"액션,드라마","카카오페이지,네이버웹툰"
칼날왕관,1,3.0,8,월요일,https://newtoki307.com/webtoon/30920245?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/30918005/%EC%B9%BC%EB%82%A0%EC%99%95%EA%B4%80?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션","레진코믹스,이드페이퍼 IDpaper"
소르골 전기:천년전쟁,39,3.0,266,월요일,https://newtoki307.com/webtoon/208720?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,https://newtoki307.com/webtoon/208717/%EC%86%8C%EB%A5%B4%EA%B3%A8-%EC%A0%84%EA%B8%B0-%EC%B2%9C%EB%85%84%EC%A0%84%EC%9F%81?sst=as_update&sod=desc&yoil=%EC%9B%94&toon=%EC%9D%BC%EB%B0%98%EC%9B%B9%ED%88%B0,"판타지,액션,중국","카카오페이지,네이버웹툰,무툰"
