이름,작가/그림,장르,요일,추천수,별점(총),별점(화),총화수,댓글,줄거리,이미지,플랫폼,첫화링크,업데이트
독보소요,,"무협,중국",월,41,"[3.5, 135]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.5, 4.0, 4.0, 4.0, 3.7, 3.3, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.3, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",340,"['a', 'b', 'c']","하늘에서 뚝 떨어진 사내, 강지훈! 안 씨 가문의 아가씨, 안지연의 데릴사위가 되다?! 낯선 땅에 떨어지자마자 혼례를 올리게 된 지훈은 천화종의 장로에게 목숨을 위협받게 된다. 기지를 발휘해 아수라장을 빠져나갔지만 사방에 위험이 도사리고 있는 그에게 믿을 건 수련 뿐!",src/img/독보소요.png,,,"[Timestamp('2024-04-11 00:00:00'), Timestamp('2021-03-09 00:00:00')]"
흑막 약혼자가 내 꽃길을 방해한다,,"판타지,로맨스",월,42,"[3.7, 15]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 3.7, 3.5, 3.0, 2.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",27,"['a', 'b', 'c']","신탁을 잘못 해석해 탄생한 가짜 성녀. 제국을 속인 사기꾼. 가문에서도 버림받고, 진짜 성녀를 시기해 온갖 악행을 저지르다 죽는 악녀. 그게 원작에서의 내 역할이었다. 책 속에 환생했다는 것을 알게 된 후, 나는 결심했다 이 나라에서는 도저히 더럽고 치사해서 못 살겠다. 답은 망명뿐이야! 망명을 위해서는 범죄 혐의가 있어서는 안 되었기에, 나는 꽃길을 목표로 그저 착하게 살았다. 아무도 죽이지 않고, 아무도 시기하지 않고. 그런데, 뭔가 이상하다. 원작에서 나를 조롱해서, 내 손에 죽던 엑스트라들의 사고 소식이 매일같이 들려 온다. 이번엔 내가 안 그랬는데...?",src/img/흑막약혼자가내꽃길을방해한다.png,,,"[Timestamp('2024-04-10 00:00:00'), Timestamp('2024-02-16 00:00:00')]"
공녀고 나발이고 집에 간다고,,드라마,월,26,"[4.2, 15]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.5, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20,"['a', 'b', 'c']","로또에 당첨된 걸 확인하고 회사를 때려치우려고 했는데! 판타지 세상 속 공녀의 몸으로 들어와 버렸다. 당첨금 수령 기간은 1년. 무슨 수를 써서라도 그 전까진 집에 돌아가야 한다. 17억아, 엄마 금방 갈게. 기다려!! 아니, 그런데 이 가족들이 왜 이래? “널 사랑한단다.” 저 아저씨 딸 아닌데요. “내 동생, 우리 막내. 다칠 수 있으니까 내가 들어 줄게.” 그게 나를 들어 올린다는 뜻이었어? 뭐야, 이 거대 불곰은. “한 번만 더 내 동생에게 까불었다간, 쥐도 새도 모르게 없애 주지.” 넌 얼굴도 예쁜 애가 무슨 말을 그렇게 험악하게 하니. “너는 좀 아프지 마라.” 나한테 신경 꺼. 뭔 오빠들이 이렇게 많아. 저 공녀 아니라고요! 나 좀 내버려 둬. 집에 가게!",src/img/공녀고나발이고집에간다고.png,,,"[Timestamp('2024-04-10 00:00:00'), Timestamp('2024-04-10 00:00:00')]"
웨어울프 : 향기에 이끌린 늑대들,,"판타지,로맨스,드라마",월,7,"[2.8, 4]","[5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41,"['a', 'b', 'c']","남편과 사별한 후 홀로 어린 딸을 돌보는 싱글맘 올리비아. 그녀는 희귀병을 앓는 딸을 살리기 위해 제약회사 테라큐어로 향하고, 그곳의 CEO인 데미안 브라운이 지난밤 자신과 함께한 남자임을 알게 된다. ""평생 일해서라도 비용은 다 지불할게요."" ""평생 일해도 어려울 것 같은데?"" ""그럼 뭐든 줄게요. 영혼이든 몸이든 줄 수 있는 건 전부!"" 비밀을 가진 남자와 위험한 만남을 이어가는 올리비아. 그런 올리비아에게 늑대인간 데미안은 속절없이 끌리게 되는데….",src/img/웨어울프향기에이끌린늑대들.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2023-10-18 00:00:00')]"
황제와 함께 타락하겠습니다,,"판타지,로맨스",월,121,"[3.7, 63]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 4.6, 4.5, 4.5, 4.5, 4.5, 4.5, 4.4, 4.3, 4.3, 4.3, 4.0, 4.0, 4.0, 4.0, 3.7, 3.7, 3.7, 3.4, 3.0, 3.0, 3.0, 2.7, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",95,"['a', 'b', 'c']","""너도 타락하는 거다. 그럼 모든 것을 이루어 주지."" 만약 그때 그의 손을 맞잡고 얌전히 정부가 되었다면, 나도 조금은 연명할 수 있었을까. 적어도 눈이 도려내지는 아픔은 몰랐겠지. ""거절하겠어. 난 조국을 배신하지 않아."" 10년이라는 시간을 회귀해 당신의 옆에 섰을 때 비로소 깨달았다. 추락할 대로 추락한 우리는 아주 많이 닮아 있었고, 그게 당신이 내게 손을 내민 이유였다는 걸.",src/img/황제와함께타락하겠습니다.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2022-10-11 00:00:00')]"
나는 될 놈이다,,"판타지,액션,드라마,한국",월,210,"[2.9, 78]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.9, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.7, 4.7, 4.7, 4.7, 4.7, 4.7, 4.6, 4.6, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.5, 4.4, 4.4, 4.4, 4.4, 4.3, 4.3, 4.3, 4.2, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.7, 3.4, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",209,"['a', 'b', 'c']","처음부터 평범하게 강한 직업은 키워봤자 재미가 없잖아? 약한 직업을 키워야 하는 재미가 있지! 타고난, 축복 받은 재능! 그러나 변태 같은 취향! 스스로 어려운 길을 고르려고 했지만 세상은 그를 가만히 두지 않았다! “뭔 전설 직업이야? 싫어, 인마! 취소! 취소!” 뭘 해도 될놈은 된다. 될놈 김태현의 게임 정복기!",src/img/나는될놈이다.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2019-08-12 00:00:00')]"
토마토가 돼라!,,"로맨스,드라마",월,10,"[5.0, 3]","[5.0, 5.0, 5.0, 2.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",62,"['a', 'b', 'c']",껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고... 그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다. 겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다!,src/img/토마토가돼라.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2024-04-09 00:00:00')]"
마왕의 아이로 살아남는 법,,"판타지,로맨스",월,102,"[3.3, 46]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.3, 4.2, 3.7, 2.7, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"['a', 'b', 'c']","세상이 멸망했다. 또다시. 천 번에 가까운 회귀를 거듭하며 세계 멸망을 막아 보고자 아무리 용을 써도, 나는 결코 결말을 바꿀 수 없었다. 이제는 지친다. 회귀도 지긋지긋하다. 이번에는 몇 살로 회귀할까. 회귀 따위, 다시는 하고 싶지 않은데. “으다앙.” 잠깐! 뭐야, 이 목소리는! 뭐야, 이 단풍잎처럼 작은 손은! “누가 이런 갓난아기를 갖다 버린 거야?” 이번 생은 갓난아기로 회귀해 버렸다! 그것도 세계를 수천 번 멸망시키고 있는 장본인인, 루카스의 저택 앞에서! 갓난아기라니! 팔도, 목도 제대로 못 가누는 갓난아기라니! 아니지, 잠시 진정하고 생각해 보자. 이번 생이야말로 루카스 곁을 밀착 감시하면서 세계 멸망을 막을 수 있는 엄청난 기회일지도 모른다. 날 경계하고 긴장해라, 루카스. 이번엔 네놈이 이 세계를 멸망시키지 못하도록 할 테니까! 나는 소리를 높여 악랄하게 깔깔 웃었다. 아하하하하. 아하하하하! “까르르르.” “어머나. 우리 아기님은 웃음소리도 귀여우시네.”",src/img/마왕의아이로살아남는법.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2023-01-08 00:00:00')]"
마황귀환록,,"판타지,액션,중국",월,70,"[3.1, 78]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.8, 4.8, 4.6, 4.5, 4.5, 4.5, 4.5, 4.4, 4.4, 4.4, 4.3, 4.3, 4.3, 4.3, 4.3, 4.2, 4.2, 4.1, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.9, 3.8, 3.8, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.6, 3.5, 3.5, 3.5, 3.5, 3.3, 3.3, 3.2, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.9, 2.5, 2.5, 2.5, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",256,"['a', 'b', 'c']","""한 때, 구유 대제라 불리었던 적소 대왕, 고천랑 선계와 마계 그리고 저승까지 평정했던 그였지만 천계의 벌을 받아 죽을 위기에 놓이게 된다 하지만, 자신의 법보였던 적멸고옥 덕분에 살아남게 되었고 적염령에서 깨어났을 때, 그가 천계의 벌을 받음으로부터 몇 백년의 세월이 지난 뒤였다 본래의 힘을 잃고 인간이 된 그였지만 자신을 벌한 천계에 복수하기 위해 여정을 떠난다 """,src/img/마황귀환록.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2021-03-08 00:00:00')]"
100만 년 만에 귀환하다,,"판타지,액션,개그,중국",월,28,"[2.5, 35]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.5, 4.3, 4.3, 4.3, 4.2, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.8, 3.7, 3.7, 3.7, 3.5, 3.5, 3.5, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",216,"['a', 'b', 'c']","멀고도 아득한 세월, 백만 년 대륙이 갈라지고 끝없는 전쟁이 일어나는 동안 마강진은 속박의 땅에 갇혀있었다 해방되어 세상에 나온 그는 제자들이 그의 몸을 되찾기 위해 목숨을 내걸었다는 것을 알 수 있었고, 이에 복수를 다짐한다 우선 근처 문파에 의탁해 수련하며 실력을 기르기로 하는데, 마침 근처에 자신의 제자가 세운 문파, 영계종이 있다는 사실을 알게된다 제자가 없는 세월 동안 몰락 직전까지 간 영계종 마강진은 먼저 영계종으로 들어가 그곳을 부흥시키기로 한다 그러면서 그는 갇혀 있던 세월 동안의 실마리를 차근차근 풀어나가기 시작하는데",src/img/100만년만에귀환하다.png,,,"[Timestamp('2024-04-09 00:00:00'), Timestamp('2022-07-04 00:00:00')]"
